CPU_timestamp,CPU_app_usage,CPU_total_usage
83621,8.31,10.56
83821,8.59,13.36
84021,8.22,11.92
84221,9.54,9.87
84421,9.28,12.81
84622,8.63,24.65
84823,5.75,6.64
85023,6.75,10.51
85223,7.01,11.39
85423,8,10.02
85624,6.26,12.51
85824,6.09,20.1
86025,7.94,15.44
86226,7.48,11.71
86426,12.48,14.44
86626,12.83,16.42
86826,8.47,10.83
87027,10.75,29.27
87227,10.9,21.15
87427,8.89,12.45
87628,9.39,20.99
87828,8.6,11.31
88028,9.16,13.23
88228,10.41,12.13
88428,11.04,18.34
88628,8.66,24.03
88828,8.9,11.05
89029,10.52,10.58
89229,7.84,12.45
89429,9.34,12.46
89629,9.71,28.54
89829,8.67,9.63
90030,10.63,11.28
90230,8.21,10.98
90430,10.98,15.95
90630,8.76,11.2
90830,10.09,14.54
91030,8.62,12.91
91230,8.6,9.92
91430,7.93,10.45
91630,9.47,27.76
91830,8.94,26.28
92031,8.97,13.22
92231,10.52,13.56
92431,9.35,11.67
92631,9.51,14.03
92831,6.26,12.05
93031,9.47,10.44
93231,10.93,22.02
93431,11.01,21.31
93631,8.57,13.11
93832,8.01,9.61
94033,8.26,12.77
94233,8.52,13.72
94434,9.16,17.86
94634,11.04,25.32
94834,8.56,9.38
95034,7.38,12.17
95234,6.63,11.16
95434,10.95,11.95
95634,7.53,10.3
95834,10.97,27.14
96034,9.2,10.05
96234,7.78,14.62
96434,7.73,15.15
96634,14.12,15.25
96834,8.02,30.93
97034,11.14,11.53
97234,8.42,12.73
97434,9.48,14.43
97634,8.33,11.06
97834,7.85,9.24
98034,5.88,9.49
98234,6.81,14.42
98434,5.19,15.58
98634,7.23,8.9
98834,5.63,11.11
99034,7.03,8.76
99234,12.12,12.88
99434,7.56,14.23
99634,10.28,27.81
99834,9.39,12.57
100035,8.67,11.92
100236,7.95,16.31
100436,8.23,13.86
100636,9.55,12.06
100836,11.13,27.22
101036,9.8,10.65
101236,9.51,17.55
101436,7.1,10.39
101636,7.05,11.67
101836,8.24,9.98
102036,8.35,22.83
102236,5.92,17.18
102436,5.55,6.41
102636,6.3,10.71
102836,6.3,8.74
103037,7.23,11.93
103237,8.9,19.29
103438,9.64,11.56
103638,8.45,21.2
103838,9.23,13.01
104038,8.74,13.71
104238,7.9,22.84
104438,7.14,12.4
104638,8.02,14.85
104838,0,1.28
105039,0,1.56
105239,0.28,2.23
105439,0,1.13
105639,0.21,1.79
105839,0,12.97
106039,4.21,13.83
106240,9.43,11.07
106440,3.61,4.17
106640,1.32,7.56
106840,0,14.63
107040,0.37,0
107241,0,8.91
107441,0.91,3.64
107641,6.3,13.49
107842,2.3,4.77
108042,0,4.61
108243,0,3.62
108443,0,2.33
108643,0.33,12.19
108843,0,1.31
109043,0,0.89
109244,0,2.34
109444,0.22,13.53
109644,0,2.7
109844,0,3.87
110045,0.22,14.49
110245,2.5,27.63
110445,0,33.93
110645,4.61,6.95
110845,4.1,16.92
111045,0.51,2.55
111245,0.42,11.29
111445,0,1.72
111645,0,1.41
111845,1.45,2.83
112045,1.07,8.69
112245,0.63,11.82
112445,0,17.5
112646,0.24,1.7
112846,5.26,4.81
113046,4.69,9.64
113246,0.69,16.08
113446,0,11.5
113646,6.89,8.53
113846,4.18,4.6
114046,3.64,7.89
114246,4.01,8.38
114446,2.75,7.95
114646,0,8.33
114846,0,12.14
115047,0,7.62
115247,2.02,5.65
115447,0,3.07
115647,0,2.18
115847,0.37,15.02
116047,0,12.89
116247,0,25.65
116447,0.66,2.96
116647,7.23,1.87
116847,1.98,4.53
117047,2.51,12.24
117247,0,9.56
117447,0,9.03
117647,0.29,7.92
117847,5.37,21.95
118047,25,7.25
118247,27.7,16.12
118447,2.44,39.19
118647,0,33.55
118847,0,2.23
119047,0.23,2.26
119247,0,5.75
119447,0,1.49
119648,0,1.89
119848,0.5,4.18
120048,0.89,6.85
120248,0,10.59
120448,0.23,3.26
120648,0,1.68
120848,0.28,26.92
121048,6.41,8.86
121249,5.41,5.3
121450,3.82,8.91
121650,1.56,4.29
121850,12.12,16.37
122050,5.34,9.62
122250,1.11,3.14
122450,0,6.84
122651,0.52,15.02
122851,0,0.96
123052,1.15,21.95
123252,2.44,9.95
123452,0,20.06
123652,0,6.47
123852,0,12.33
124053,4.83,6.47
124253,1.49,7.11
124453,0.84,4.55
124653,0,2.17
124853,0.6,7.57
125053,2.02,1.84
125253,0,14.5
125453,0,2.16
125654,0.44,1.09
125854,0,2.28
126054,0.6,1.97
126254,0,16.14
126454,0,1.2
126654,0.25,3.96
126854,0,0.89
127054,0.44,3.05
127255,1.39,11.56
127455,0,9.78
127655,0.32,5.8
127855,0,0.47
128055,4.32,8.06
128255,2.42,18.01
128455,2.91,13.43
128655,3.22,9
128855,3.75,8.33
129055,3.97,7.44
129255,4.39,10.47
129456,2.99,6.47
129657,1.75,4.9
129858,15.41,12.78
130059,6.69,33.38
130259,0.59,4.46
130459,0,3.26
130659,0,1.51
130860,0.22,13.44
131061,0,1.31
131262,0,0.9
131462,0,7.51
131662,0,1.5
